ID_MDC;ID_Partition;ID_DRG;ID_Text;ID_BA_Kalkuliert
-1 ;O;901A;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose mit bestimmter komplizierender Konstellation oder Strahlentherapie oder endovaskulärer Implantation von Stent-Prothesen an der Aorta;0
-1 ;O;901B;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne Strahlentherapie, ohne endovaskuläre Implantation von Stent-Prothesen an der Aorta, mit hochkomplexer OR-Prozedur oder komplizierender Konstellation;0
-1 ;O;901C;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne kompl. Konstellation, ohne Strahlentherapie, ohne hochkomplexe OR-Prozedur, mit kompl. OR-Prozedur od. mit anderen Eingriffen an Kopf und Wirbelsäule od. Alter < 1 J. od. bei Para- / Tetraplegie;0
-1 ;O;901D;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne komplizierende Konstellation, ohne Strahlentherapie, ohne komplexe OR-Prozedur, ohne andere Eingriffe an Kopf und Wirbelsäule, Alter > 0 Jahre, außer bei Para- / Tetraplegie;0
-1 ;O;902Z;Nicht ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose;0
-1 ;M;960Z;Nicht gruppierbar;0
-1 ;M;961Z;Unzulässige Hauptdiagnose;0
-1 ;M;962Z;Unzulässige Kodierung einer Sectio caesarea;0
-1 ;M;963Z;Neonatale Diagnose unvereinbar mit Alter oder Gewicht;0
00 ;O;A01A;Lebertransplantation mit Beatmung > 179 Stunden oder kombinierter Dünndarmtransplantation;0
00 ;O;A01B;Lebertransplantation ohne kombinierte Dünndarmtransplantation mit Beatmung > 59 und < 180 Stunden oder mit Transplantatabstoßung oder mit kombinierter Nierentransplantation oder Alter < 6 Jahre;0
00 ;O;A01C;Lebertransplantation ohne kombinierte Dünndarmtransplantation, ohne Beatmung > 59 Stunden, ohne Transplantatabstoßung, ohne kombinierte Nierentransplantation, Alter > 5 Jahre;0
00 ;O;A02Z;Transplantation von Niere und Pankreas;0
00 ;O;A03A;Lungentransplantation mit Beatmung > 179 Stunden;0
00 ;O;A03B;Lungentransplantation ohne Beatmung > 179 Stunden;0
00 ;O;A04B;Knochenmarktransplantation / Stammzelltransfusion, allogen, außer bei Plasmozytom oder mit Graft-versus-host-Krankheit Grad III und IV, mit In-vitro-Aufbereitung oder Alter < 16 Jahre;0
00 ;O;A04C;Knochenmarktransplantation / Stammzelltransfusion, allogen, HLA-verschieden oder bei Plasmozytom, mit Graft-versus-host-Krankheit Grad III und IV, ohne In-vitro-Aufbereitung, Alter > 15 Jahre;0
00 ;O;A04D;Knochenmarktransplantation / Stammzelltransfusion, allogen, außer bei Plasmozytom, ohne In-vitro-Aufbereitung, Alter > 15 Jahre, ohne Graft-versus-host-Krankheit Grad III und IV, HLA-identisch;0
00 ;O;A04E;Knochenmarktransplantation / Stammzelltransfusion, allogen, bei Plasmozytom, ohne Graft-versus-host-Krankheit Grad III und IV, Alter > 15 Jahre;0
00 ;O;A05A;Herztransplantation mit Beatmung > 179 Stunden oder Alter < 16 Jahre;0
00 ;O;A05B;Herztransplantation ohne Beatmung > 179 Stunden, Alter > 15 Jahre;0
00 ;O;A06A;Beatmung > 1799 Stunden mit intensivmedizinischer Komplexbehandlung > 2940 / 5520 / - Aufwandspunkte oder mit hochkomplexem Eingriff oder mit komplexer OR-Prozedur oder Polytrauma und mit intensivmed. Komplexbehandlung > - / 3680 / 3680 Aufwandspunkte;0
00 ;O;A06B;Beatmung > 1799 Stunden mit komplexer OR-Prozedur oder Polytrauma, ohne hochkomplexen Eingriff, ohne intensivmedizinische Komplexbehandlung > 2940 / 3680 / 3680 Aufwandspunkte oder ohne komplexe OR-Prozedur, ohne Polytrauma;0
00 ;O;A07A;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 / 4600 Aufwandspunkte, mit komplexer OR-Prozedur oder Polytrauma und int. Komplexbeh. > 3920 / 3680 / 3680 P. oder mit hochkompl. oder dreizeitigem Eingr.;0
00 ;O;A07B;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 / 4600 Aufwandspunkte, mit kompl. OR-Proz. und kompliz. Konst. od. mit Polytrauma oder Alter < 16 J. oder intensivmed. Komplexbeh. > - / 3220 / - Punkte;0
00 ;O;A07C;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 / 4600 Punkte, mit komplexer OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, mit intensivmedizinischer Komplexbehandlung > 2352 / 1932 / 2208 Punkte;0
00 ;O;A07D;Beatmung > 999 Stunden ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne intensivmedizinische Komplexbehandlung > 2352 / 1932 / 2208 Aufwandspunkte, mit komplexer Diagnose;0
00 ;O;A07E;Beatmung > 999 Stunden ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne intensivmedizinische Komplexbehandlung > 2352 / 1932 / 2208 Aufwandspunkte, ohne komplexe Diagnose;0
00 ;O;A09A;Beatmung > 499 Stunden oder > 249 Stunden mit int. Komplexbeh. > 2352/1932/2208 P., mit hochkomplexem Eingriff oder kompl. OR-Proz. und Alter < 16 Jahre, mit int. Komplexbeh. > 1764/1932/- P. oder mit sehr kompl. Eingr. und int. Komplexbeh. > -/2208/- P.;0
00 ;O;A09B;Beatmung > 499 Stunden oder > 249 Stunden mit int. Komplexbeh. > 2352/1932/2208 P., mit angeb. Fehlbild. od. Tumorerkr., Alter < 3 J. oder mit hochkompl. Eingr. oder mit kompl. OR-Proz. oder int. Komplexbeh. > 1764/1932/- P. und Alter < 16 Jahre;0
00 ;O;A09C;Beatmung > 499 Stunden oder > 249 Stunden mit int. Komplexbeh. > 2352/1932/2208 P., mit komplexer OR-Prozedur oder Polytrauma oder int. Komplexbeh. > 1754/1656/2208 P. oder mit komplizierender Konstellation oder Alter < 16 Jahre;0
00 ;O;A09D;Beatmung > 499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, mit intensivmedizinischer Komplexbehandlung > 1470/1380/1380 und < 1765/1657/2209 Aufwandspunkte;0
00 ;O;A09E;Beatmung > 499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, ohne intensivmedizinische Komplexbehandlung > 1470/1380/1380 Aufwandspunkte, mit komplexer Diagnose oder Prozedur;0
00 ;O;A09F;Beatmung > 499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, ohne intensivmedizinische Komplexbehandlung > 1470/1380/1380 Aufwandspunkte, ohne komplexe Diagnose oder Prozedur;0
00 ;O;A11A;Beatmung > 249 Stunden oder > 95 Stunden mit intensivmedizinischer Komplexbehandlung > 1764 / 1656 / 1656 Aufwandspunkte, mit hochkompl. Eingriff oder Alter < 2 J. bei angeb. Fehlbildung od. mit kompliz. Konstellation und best. OR-Prozedur, Alter < 16 J.;0
00 ;O;A11B;Beatmung > 249 Stunden oder > 95 Stunden mit intensivmed. Komplexbeh. > 1764 / 1656 / 1656 Punkte., mit kompl. OR-Proz. und Alter < 16 J. oder kompliz. Konst., od. bei Tumor od. angeb. Fehlbild., Alt. < 3 J. od. intensivmed. Komplexbeh. > - / 1104 / - P.;0
00 ;O;A11C;Beatmung > 249 Stunden, ohne komplexe OR-Prozedur, ohne intensivmedizinische Komplexbehandlung > 1764 / 1656 / 1656 Aufwandspunkte, mit komplizierender Konstellation und bestimmter OR-Prozedur, Alter > 15 Jahre;0
00 ;O;A11D;Beatmung > 249 Stunden, mit komplexer OR-Prozedur, ohne hochkomplexen Eingriff, ohne int. Komplexbeh. > 1764 / 1656 / 1656 P., ohne kompliz. Konstellation, Alter > 15 Jahre oder mit intensivmedizinischer Komplexbehandlung > 588 / 828 / - Aufwandspunkte;0
00 ;O;A11E;Beatmung > 249 Stunden oder > 95 Stunden mit intensivmedizinischer Komplexbehandlung > 1764 / 1656 / 1656 Aufwandspunkte, mit bestimmter OR-Prozedur oder kompliz. Konstellation oder intensivmed. Komplexbehandlung > - / - / 1104 P. oder Alter < 6 Jahre;0
00 ;O;A11F;Beatmung > 249 Stunden, ohne komplexe oder bestimmte OR-Prozedur, ohne intensivmedizinische Komplexbehandlung > 588 / 828 / 1104 Aufwandspunkte, ohne kompliz. Konstellation, Alter > 5 Jahre, mit komplexer Diagnose oder Prozedur oder Alter < 16 Jahre;0
00 ;O;A11G;Beatmung > 249 Stunden, ohne komplexe oder bestimmte OR-Prozedur, ohne intensivmedizinische Komplexbehandlung > 588 / 828 / 1104 Aufwandspunkte, ohne kompliz. Konstellation, Alter > 15 Jahre, ohne komplexe Diagnose od. Prozedur, mit äußerst schweren CC;0
00 ;O;A11H;Beatmung > 249 Stunden, ohne komplexe oder bestimmte OR-Prozedur, ohne intensivmedizinische Komplexbehandlung > 588 / 828 / 1104 Aufwandspunkte, ohne kompliz. Konstellation, Alter > 15 Jahre, ohne komplexe Diagnose oder Prozedur, ohne äußerst schwere CC;0
00 ;O;A13A;Beatmung > 95 Std. mit hochkompl. Eingr. od. mit kompl. OR-Proz. u. int. Komplexbeh. > 1176 / 1380 / 1656 P. od. mit kompl. OR-Proz. u. int. Komplexbeh. > - / 1104 / 1104 P. od. b. Lymphom und Leukämie, m. kompliz. Konst. u. best. OR-Proz., Alter < 16 J.;0
00 ;O;A13B;Beatmung > 95 Stunden mit sehr komplexem Eingriff oder mit komplexer OR-Prozedur und komplizierender Konstellation oder mit best. OR-Proz. und kompliz. Konst., Alter < 16 Jahre od. mit intensivmed. Komplexbeh. > - / 1104 / 1104 Punkte und kompliz. Konst.;0
00 ;O;A13C;Beatmung > 95 Stunden ohne komplexe OR-Prozedur, mit bestimmter OR-Proz. und kompliz. Konstellation, Alter > 15 J. oder mit intensivmed. Komplexbeh. > - / 1104 / 1104 Punkte od. Alter < 16 J., außer bei Lymphom und Leukämie, ohne kompliz. Konstellation;0
