IM_MDC;IM_Text;IM_DRG_Anzahl;IM_Faelle_Anzahl
00;Prä-MDC;0;0
01;MDC 01 Krankheiten und Störungen des Nervensystems;0;0
02;MDC 02 Krankheiten und Störungen des Auges;11;2868
03;MDC 03 Krankheiten und Störungen des Ohres, der Nase, des Mundes und des Halses;14;8194
04;MDC 04 Krankheiten und Störungen der Atmungsorgane;0;0
05;MDC 05 Krankheiten und Störungen des Kreislaufsystems;0;0
06;MDC 06 Krankheiten und Störungen der Verdauungsorgane;2;362
07;MDC 07 Krankheiten und Störungen an hepatobiliärem System und Pankreas;0;0
08;MDC 08 Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;17;3444
09;MDC 09 Krankheiten und Störungen an Haut, Unterhaut und Mamma;1;75
10;MDC 10 Endokrine, Ernährungs- und Stoffwechselkrankheiten;0;0
11;MDC 11 Krankheiten und Störungen der Harnorgane;7;2188
12;MDC 12 Krankheiten und Störungen der männlichen Geschlechtsorgane;5;1028
13;MDC 13 Krankheiten und Störungen der weiblichen Geschlechtsorgane;6;936
14;MDC 14 Schwangerschaft, Geburt und Wochenbett;8;2797
15;MDC 15 Neugeborene;4;4065
16;MDC 16 Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems;0;0
17;MDC 17 Hämatologische und solide Neubildungen;0;0
18A;MDC 18A HIV;0;0
18B;MDC 18B Infektiöse und parasitäre Krankheiten;0;0
19;MDC 19 Psychische Krankheiten und Störungen;0;0
20;MDC 20 Alkohol- und Drogengebrauch und alkohol- und drogeninduzierte psychische Störungen;0;0
21A;MDC 21A Polytrauma;0;0
21B;MDC 21B Verletzungen, Vergiftungen und toxische Wirkungen von Drogen und Medikamenten;1;75
22;MDC 22 Verbrennungen;0;0
23;MDC 23 Faktoren, die den Gesundheitszustand beeinflussen, und andere Inanspruchnahme des Gesundheitswesens;0;0
-1;Fehler-DRGs und sonstige DRGs;0;0
