nd_Pepp;nd_Code;nd_FaelleAnzahl;nd_FaelleAnteil;nd_NennungenAnzahl;nd_NennungenAnteil
P002Z;F74.1;31;0,0883;31;0,0286
P002Z;F32.1;30;0,0855;30;0,0277
P002Z;F12.1;29;0,0826;29;0,0268
P002Z;Z62;29;0,0826;29;0,0268
P002Z;F17.1;26;0,0741;26;0,024
P002Z;F43.2;25;0,0712;25;0,0231
P002Z;X84.9;22;0,0627;24;0,0222
P002Z;F10.1;18;0,0513;18;0,0166
P002Z;F98.0;18;0,0513;18;0,0166
P002Z;Z63;18;0,0513;18;0,0166
P002Z;F32.2;17;0,0484;18;0,0166
P002Z;F90.0;17;0,0484;18;0,0166
P002Z;F90.1;17;0,0484;17;0,0157
P002Z;F43.1;15;0,0427;15;0,0139
P002Z;F98.8;15;0,0427;15;0,0139
P002Z;F81.9;13;0,037;13;0,012
P002Z;Z61;13;0,037;13;0,012
P002Z;Z60;12;0,0342;12;0,0111
P002Z;Z81;12;0,0342;12;0,0111
P002Z;F70.1;11;0,0313;11;0,0102
P002Z;F40.1;10;0,0285;10;0,0092
P002Z;F63.8;10;0,0285;10;0,0092
P002Z;F92.8;10;0,0285;10;0,0092
P002Z;K59.0;9;0,0256;9;0,0083
P002Z;F15.2;8;0,0228;8;0,0074
P002Z;F60.31;8;0,0228;8;0,0074
P002Z;Z91.8;8;0,0228;8;0,0074
P002Z;F15.0;7;0,0199;7;0,0065
P002Z;F15.1;7;0,0199;7;0,0065
P002Z;F19.1;7;0,0199;7;0,0065
P002Z;F91.2;7;0,0199;7;0,0065
P002Z;F93.8;7;0,0199;7;0,0065
P002Z;F17.2;6;0,0171;6;0,0055
P002Z;F50.0;6;0,0171;6;0,0055
P002Z;F83;6;0,0171;6;0,0055
P002Z;F88;6;0,0171;6;0,0055
P002Z;F94.1;6;0,0171;6;0,0055
P002Z;H52.1;6;0,0171;6;0,0055
P002Z;H52.2;6;0,0171;6;0,0055
P002Z;I31.3;6;0,0171;6;0,0055
P002Z;S51.80;6;0,0171;6;0,0055
P002Z;Z72.8;6;0,0171;6;0,0055
P002Z;E41;5;0,0142;5;0,0046
P002Z;F12.0;5;0,0142;5;0,0046
P002Z;F12.2;5;0,0142;5;0,0046
P002Z;F50.1;5;0,0142;5;0,0046
P002Z;F84.0;5;0,0142;5;0,0046
P002Z;F84.1;5;0,0142;5;0,0046
P002Z;F98.1;5;0,0142;5;0,0046
P002Z;J06.8;5;0,0142;5;0,0046
P002Z;J45.9;5;0,0142;5;0,0046
P002Z;L20.8;5;0,0142;5;0,0046
P002Z;N91.1;5;0,0142;5;0,0046
P002Z;S60.2;5;0,0142;5;0,0046
P002Z;Z03.8;5;0,0142;5;0,0046
P002Z;B07;4;0,0114;4;0,0037
P002Z;E05.0;4;0,0114;4;0,0037
P002Z;E66.99;4;0,0114;4;0,0037
P002Z;F20.0;4;0,0114;4;0,0037
P002Z;F45.0;4;0,0114;4;0,0037
P002Z;F81.3;4;0,0114;4;0,0037
P002Z;F94.2;4;0,0114;4;0,0037
P002Z;J45.0;4;0,0114;4;0,0037
P002Z;T14.00;4;0,0114;4;0,0037
P002Z;Z48.0;4;0,0114;4;0,0037
P002Z;Z73;4;0,0114;4;0,0037
P003A;E86;21;0,1265;21;0,0185
P003A;I10.00;20;0,1205;21;0,0185
P003A;K59.0;19;0,1145;19;0,0168
P003A;R29.6;19;0,1145;19;0,0168
P003A;R32;17;0,1024;17;0,015
P003A;Z74.1;17;0,1024;17;0,015
P003A;I10.90;16;0,0964;16;0,0141
P003A;R15;15;0,0904;15;0,0132
P003A;G47.0;13;0,0783;13;0,0115
P003A;N39.48;13;0,0783;13;0,0115
P003A;Z92.1;11;0,0663;11;0,0097
P003A;E87.6;10;0,0602;10;0,0088
P003A;Z91.8;10;0,0602;10;0,0088
P003A;F10.2;9;0,0542;9;0,0079
P003A;F60.31;9;0,0542;9;0,0079
P003A;N39.0;9;0,0542;10;0,0088
P003A;Z74.0;9;0,0542;9;0,0079
P003A;E03.9;8;0,0482;8;0,0071
P003A;E11.90;8;0,0482;8;0,0071
P003A;F13.2;8;0,0482;8;0,0071
P003A;Z74.3;8;0,0482;8;0,0071
P003A;E78.5;7;0,0422;7;0,0062
P003A;F17.2;7;0,0422;7;0,0062
P003A;F43.1;7;0,0422;7;0,0062
P003A;F70.1;7;0,0422;7;0,0062
P003A;R45.1;7;0,0422;7;0,0062
P003A;R63.3;7;0,0422;7;0,0062
P003A;F33.2;6;0,0361;6;0,0053
P003A;G25.88;6;0,0361;6;0,0053
P003A;I69.3;6;0,0361;6;0,0053
P003A;L89.17;6;0,0361;6;0,0053
P003A;R13.9;6;0,0361;6;0,0053
P003A;R53;6;0,0361;6;0,0053
P003A;R60.0;6;0,0361;6;0,0053
P003A;Y57.9;6;0,0361;8;0,0071
P003A;Z11;6;0,0361;6;0,0053
P003A;E87.1;5;0,0301;5;0,0044
P003A;F00.2;5;0,0301;5;0,0044
P003A;F32.2;5;0,0301;5;0,0044
P003A;J45.9;5;0,0301;5;0,0044
P003A;R33;5;0,0301;5;0,0044
P003A;R39.1;5;0,0301;5;0,0044
P003A;Z29.8;5;0,0301;5;0,0044
P003A;Z48.0;5;0,0301;5;0,0044
P003A;E03.8;4;0,0241;4;0,0035
P003A;E11.91;4;0,0241;4;0,0035
P003A;E53.8;4;0,0241;4;0,0035
P003A;E66.00;4;0,0241;4;0,0035
P003A;F03;4;0,0241;4;0,0035
P003A;F05.1;4;0,0241;4;0,0035
P003A;F10.6;4;0,0241;4;0,0035
P003A;F12.1;4;0,0241;4;0,0035
P003A;F20.0;4;0,0241;4;0,0035
P003A;F60.2;4;0,0241;4;0,0035
P003A;G30.8;4;0,0241;4;0,0035
P003A;G31.9;4;0,0241;4;0,0035
P003A;J44.99;4;0,0241;4;0,0035
P003A;R00.0;4;0,0241;4;0,0035
P003A;R45.8;4;0,0241;4;0,0035
P003A;S51.7;4;0,0241;4;0,0035
P003A;Z91.1;4;0,0241;4;0,0035
P003A;Z92.2;4;0,0241;4;0,0035
P003A;Z97.8;4;0,0241;4;0,0035
P003B;I10.00;32;0,1139;32;0,0204
P003B;I10.90;30;0,1068;30;0,0191
P003B;R29.6;27;0,0961;27;0,0172
P003B;E86;26;0,0925;26;0,0166
P003B;R15;26;0,0925;26;0,0166
P003B;Z74.1;24;0,0854;24;0,0153
P003B;E11.90;21;0,0747;21;0,0134
P003B;K59.0;20;0,0712;20;0,0128
P003B;N39.48;20;0,0712;20;0,0128
