kd_Pepp;kd_FaelleAnzahl;kd_SummePflegetage;kd_PflegetageMw;kd_PflegetageStd;kd_PflegetageHK;kd_GeschlechtM;kd_GeschlechtW;kd_AlterMw;kd_AlterStd;kd_AlterU28T;kd_AlterU01;kd_AlterU03;kd_AlterU06;kd_AlterU10;kd_AlterU16;kd_AlterU18;kd_AlterU30;kd_AlterU40;kd_AlterU50;kd_AlterU55;kd_AlterU60;kd_AlterU65;kd_AlterU75;kd_AlterU80;kd_AlterU99;kd_TageskostenMw;kd_TageskostenStd;kd_TageskostenHK;kd_Degressionsendpunkt
P002Z;351;26353;75,0798;58,9845;0,56;0,3704;0,6296;14,584;2,2585;0,00;0,00;0,00;0,00;0,0484;0,5413;0,4074;0,0028;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;478,07;129,71;0,7866;1
P003A;166;13413;80,8012;53,7021;0,6007;0,4217;0,5783;48,5783;19,8703;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,2229;0,1807;0,1145;0,0904;0,0723;0,0783;0,1145;0,0602;0,0663;348,38;157,78;0,6883;1
P003B;281;15851;56,4093;37,9612;0,5977;0,4769;0,5231;48,2776;21,005;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,242;0,1744;0,1246;0,0996;0,0712;0,0356;0,1032;0,0463;0,1032;314,56;102,30;0,7546;19
P003C;299;12496;41,7926;26,4307;0,6126;0,5585;0,4415;46,1572;19,8345;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,2843;0,1472;0,1706;0,0736;0,0602;0,0602;0,097;0,0435;0,0635;301,40;110,32;0,7321;19
PA01A;622;12699;20,4164;24,2706;0,4569;0,6656;0,3344;38,5981;15,0264;0,00;0,00;0,00;0,00;0,00;0,0016;0,00;0,3778;0,1833;0,1768;0,0852;0,074;0,0498;0,0386;0,008;0,0048;258,65;76,94;0,7707;4
PA01B;593;11613;19,5835;22,0724;0,4701;0,629;0,371;34,774;14,2483;0,00;0,00;0,00;0,00;0,00;0,00;0,0017;0,4857;0,1535;0,1872;0,0675;0,0472;0,0236;0,0304;0,0017;0,0017;237,79;64,63;0,7863;4
PA02A;6412;103197;16,0944;11,7082;0,5789;0,7648;0,2352;36,8893;8,4555;0,00;0,00;0,00;0,00;0,00;0,00;0,0005;0,1979;0,4541;0,2639;0,0533;0,0253;0,0044;0,0005;0,0002;0,00;263,32;62,95;0,8071;14
PA02B;4760;74213;15,591;14,1841;0,5236;0,754;0,246;38,9542;10,9088;0,00;0,00;0,00;0,00;0,00;0,00;0,0008;0,2023;0,3481;0,2721;0,0956;0,0471;0,0193;0,0101;0,0032;0,0015;254,65;69,28;0,7861;18
PA02C;13487;216568;16,0575;13,5792;0,5418;0,7248;0,2752;45,6587;16,2185;0,00;0,00;0,00;0,00;0,00;0,0001;0,0032;0,1953;0,1866;0,2071;0,1142;0,075;0,0454;0,1358;0,0266;0,0108;233,01;63,68;0,7854;19
PA02D;26268;298627;11,3685;11,293;0,5017;0,7169;0,2831;44,4396;11,3309;0,00;0,00;0,00;0,00;0,00;0,00;0,0016;0,1268;0,178;0,3096;0,1825;0,1305;0,0708;0,00;0,00;0,00;227,90;69,27;0,7669;23
PA03A;7052;270050;38,2941;34,9396;0,5229;0,409;0,591;55,0142;17,071;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0946;0,1161;0,16;0,1112;0,0821;0,0675;0,2413;0,0749;0,0523;240,74;67,41;0,7812;21
PA03B;20144;673522;33,4354;32,8408;0,5045;0,5713;0,4287;40,7481;11,9947;0,00;0,00;0,00;0,00;0,00;0,00;0,0009;0,2145;0,2588;0,2486;0,1276;0,0874;0,0621;0,00;0,00;0,00;217,64;59,40;0,7856;18
PA04A;3978;146219;36,7569;33,7504;0,5213;0,3896;0,6104;66,6581;19,7194;0,00;0,00;0,00;0,00;0,00;0,00;0,0008;0,0666;0,0523;0,0835;0,0596;0,0608;0,0641;0,1828;0,1066;0,323;248,36;74,24;0,7699;16
PA04B;13634;466115;34,1877;29,2183;0,5392;0,3553;0,6447;61,9889;17,6263;0,00;0,00;0,00;0,00;0,00;0,0001;0,0005;0,082;0,0697;0,0911;0,0506;0,0404;0,03;0,365;0,1727;0,0978;229,09;65,72;0,7771;21
PA04C;42099;1295744;30,7785;29,162;0,5135;0,4565;0,5435;40,8961;13,2968;0,00;0,00;0,00;0,00;0,00;0,0003;0,002;0,2576;0,1774;0,2432;0,141;0,1066;0,072;0,00;0,00;0,00;208,67;60,40;0,7755;20
PA14A;1688;48476;28,718;32,1877;0,4715;0,3045;0,6955;35,4419;14,8459;0,00;0,00;0,00;0,00;0,00;0,0006;0,0095;0,439;0,2127;0,1641;0,0551;0,0344;0,0267;0,0421;0,0071;0,0089;251,91;90,00;0,7368;12
PA14B;5740;154207;26,8653;27,9119;0,4904;0,304;0,696;30,5876;10,6942;0,00;0,00;0,00;0,00;0,00;0,0007;0,0047;0,5618;0,2132;0,1486;0,0429;0,0197;0,0084;0,00;0,00;0,00;221,00;64,62;0,7738;25
PA15A;2174;54483;25,0612;19,5153;0,5622;0,5221;0,4779;75,0672;12,8001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,006;0,0087;0,0294;0,0285;0,0419;0,0731;0,224;0,1766;0,4117;286,29;85,23;0,7706;13
PA15B;11253;264346;23,4912;17,085;0,5789;0,4274;0,5726;80,4228;9,3072;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0017;0,0026;0,0068;0,0084;0,0124;0,0197;0,1525;0,2061;0,59;272,73;70,75;0,794;17
PA15C;3699;91906;24,8462;20,4096;0,549;0,5337;0,4663;70,1955;12,1396;0,00;0,00;0,00;0,00;0,00;0,00;0,0003;0,0116;0,0154;0,0476;0,0522;0,0481;0,0487;0,309;0,2614;0,2057;251,75;74,35;0,772;16
PK01Z;351;14434;41,1225;41,1185;0,50;0,8262;0,1738;13,0427;3,2055;0,00;0,00;0,00;0,0142;0,1595;0,5584;0,2564;0,0114;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;386,64;112,69;0,7743;11
PK02Z;624;11958;19,1635;21,7838;0,468;0,641;0,359;16,1202;1,1556;0,00;0,00;0,00;0,00;0,00;0,266;0,6843;0,0497;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;377,39;125,61;0,7503;13
PK03Z;264;13480;51,0606;49,1065;0,5098;0,5417;0,4583;15,9697;1,3393;0,00;0,00;0,00;0,00;0,00;0,2879;0,6818;0,0303;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;385,29;108,92;0,7796;14
PK04A;849;39196;46,1673;47,2273;0,4943;0,3592;0,6408;14,2167;2,8413;0,00;0,00;0,0012;0,0118;0,0683;0,5383;0,3451;0,0353;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;369,75;91,51;0,8016;17
PK04B;6754;218698;32,3805;36,4109;0,4707;0,3241;0,6759;14,46;2,6301;0,00;0,0006;0,0036;0,0101;0,0378;0,549;0,3787;0,0203;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;347,80;92,14;0,7906;20
PK10Z;786;54291;69,0725;54,0337;0,5611;0,1069;0,8931;13,6768;4,0732;0,00;0,0165;0,0458;0,0242;0,0089;0,5458;0,341;0,0178;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;385,40;107,65;0,7817;1
PK14A;569;28680;50,4042;42,5511;0,5422;0,71;0,29;9,1968;4,032;0,00;0,0035;0,007;0,1178;0,4868;0,2953;0,0896;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;388,56;91,39;0,8096;16
PK14B;1620;73766;45,5346;37,7687;0,5466;0,7136;0,2864;10,9883;1,7003;0,00;0,00;0,00;0,00;0,2512;0,7488;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;367,88;85,44;0,8115;21
PK14C;1825;43400;23,7808;28,976;0,4508;0,4603;0,5397;15,3956;1,1619;0,00;0,00;0,00;0,00;0,00;0,5545;0,4301;0,0153;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;357,61;103,43;0,7757;23
PP04A;1883;71572;38,0096;22,7373;0,6257;0,2682;0,7318;54,8996;17,6554;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,12;0,1025;0,1529;0,0855;0,0807;0,0398;0,3038;0,0818;0,0329;211,30;60,15;0,7784;23
