IM_MDC;IM_Text;IM_DRG_Anzahl;IM_Faelle_Anzahl
00;Prä-MDC;76;100
01;MDC 01 Krankheiten und Störungen des Nervensystems;116;2423
02;MDC 02 Krankheiten und Störungen des Auges;32;18547
03;MDC 03 Krankheiten und Störungen des Ohres, der Nase, des Mundes und des Halses;56;73184
04;MDC 04 Krankheiten und Störungen der Atmungsorgane;68;7958
05;MDC 05 Krankheiten und Störungen des Kreislaufsystems;154;21356
06;MDC 06 Krankheiten und Störungen der Verdauungsorgane;88;17428
07;MDC 07 Krankheiten und Störungen an hepatobiliärem System und Pankreas;47;2974
08;MDC 08 Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;173;63709
09;MDC 09 Krankheiten und Störungen an Haut, Unterhaut und Mamma;52;11025
10;MDC 10 Endokrine, Ernährungs- und Stoffwechselkrankheiten;41;5615
11;MDC 11 Krankheiten und Störungen der Harnorgane;74;26276
12;MDC 12 Krankheiten und Störungen der männlichen Geschlechtsorgane;27;12691
13;MDC 13 Krankheiten und Störungen der weiblichen Geschlechtsorgane;36;13322
14;MDC 14 Schwangerschaft, Geburt und Wochenbett;26;38568
15;MDC 15 Neugeborene;42;33839
16;MDC 16 Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems;16;1146
17;MDC 17 Hämatologische und solide Neubildungen;51;1723
18A;MDC 18A HIV;7;0
18B;MDC 18B Infektiöse und parasitäre Krankheiten;24;1633
19;MDC 19 Psychische Krankheiten und Störungen;13;223
20;MDC 20 Alkohol- und Drogengebrauch und alkohol- und drogeninduzierte psychische Störungen;6;438
21A;MDC 21A Polytrauma;13;0
21B;MDC 21B Verletzungen, Vergiftungen und toxische Wirkungen von Drogen und Medikamenten;15;1034
22;MDC 22 Verbrennungen;11;32
23;MDC 23 Faktoren, die den Gesundheitszustand beeinflussen, und andere Inanspruchnahme des Gesundheitswesens;15;987
24;MDC 24 Sonstige DRGs;10;250
-1;Fehler-DRGs;3;5
