IM_MDC;IM_Text;IM_DRG_Anzahl;IM_Faelle_Anzahl
00;Prä-MDC;76;118623
01;MDC 01 Krankheiten und Störungen des Nervensystems;116;1161424
02;MDC 02 Krankheiten und Störungen des Auges;32;215901
03;MDC 03 Krankheiten und Störungen des Ohres, der Nase, des Mundes und des Halses;56;523951
04;MDC 04 Krankheiten und Störungen der Atmungsorgane;68;1119588
05;MDC 05 Krankheiten und Störungen des Kreislaufsystems;154;2000969
06;MDC 06 Krankheiten und Störungen der Verdauungsorgane;88;1441594
07;MDC 07 Krankheiten und Störungen an hepatobiliärem System und Pankreas;47;454437
08;MDC 08 Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;173;2222494
09;MDC 09 Krankheiten und Störungen an Haut, Unterhaut und Mamma;52;612880
10;MDC 10 Endokrine, Ernährungs- und Stoffwechselkrankheiten;41;411830
11;MDC 11 Krankheiten und Störungen der Harnorgane;74;638852
12;MDC 12 Krankheiten und Störungen der männlichen Geschlechtsorgane;27;162366
13;MDC 13 Krankheiten und Störungen der weiblichen Geschlechtsorgane;36;248289
14;MDC 14 Schwangerschaft, Geburt und Wochenbett;26;819002
15;MDC 15 Neugeborene;42;708908
16;MDC 16 Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems;16;108448
17;MDC 17 Hämatologische und solide Neubildungen;51;173331
18A;MDC 18A HIV;7;2794
18B;MDC 18B Infektiöse und parasitäre Krankheiten;24;222766
19;MDC 19 Psychische Krankheiten und Störungen;13;97472
20;MDC 20 Alkohol- und Drogengebrauch und alkohol- und drogeninduzierte psychische Störungen;6;52272
21A;MDC 21A Polytrauma;13;9949
21B;MDC 21B Verletzungen, Vergiftungen und toxische Wirkungen von Drogen und Medikamenten;15;91513
22;MDC 22 Verbrennungen;11;14371
23;MDC 23 Faktoren, die den Gesundheitszustand beeinflussen, und andere Inanspruchnahme des Gesundheitswesens;15;57380
24;MDC 24 Sonstige DRGs;10;35089
-1;Fehler-DRGs;3;678
