IH_DRG;IH_CodeF;IH_Anzahl;IH_Prozent
801D;D17.7;7;0,066
801D;I11.91;4;0,0377
A13E;I50.14;5;0,2632
A15D;C90.00;5;1,00
B04C;I65.2;34;0,9444
B04D;I65.2;182;0,8426
B04D;I65.3;30;0,1389
B05Z;G56.0;78;0,9873
B09Z;S02.3;126;0,8571
B09Z;S02.1;5;0,034
B09Z;S02.8;4;0,0272
B15Z;C79.3;60;0,5882
B15Z;C71.8;13;0,1275
B15Z;C71.9;10;0,098
B15Z;C71.2;6;0,0588
B15Z;C71.1;4;0,0392
B16A;C79.3;28;0,6829
B16A;C71.1;4;0,0976
B16A;C71.9;4;0,0976
B16B;C79.3;17;0,7391
B17D;G50.0;42;0,3784
B17D;D36.1;7;0,0631
B17D;G56.0;7;0,0631
B17D;G57.5;7;0,0631
B17D;S02.3;7;0,0631
B17D;G56.2;5;0,045
B17D;G90.41;5;0,045
B17D;D44.7;4;0,036
B17E;G90.41;27;0,2813
B17E;G56.2;22;0,2292
B17E;G56.0;8;0,0833
B17E;G57.6;8;0,0833
B17E;G90.8;6;0,0625
B17E;D36.1;5;0,0521
B17E;G57.5;5;0,0521
B18C;D36.1;5;0,1923
B18C;D32.1;4;0,1538
B19A;T85.1;6;0,3333
B19B;T85.1;9;0,5625
B19C;T85.1;9;0,75
B20B;D32.0;19;0,3333
B20B;C79.3;14;0,2456
B20B;C71.2;5;0,0877
B20B;C71.1;4;0,0702
B20D;G91.20;15;0,3488
B20D;S06.5;5;0,1163
B20E;S06.5;12;0,3636
B20E;I62.02;10;0,303
B20E;I62.01;5;0,1515
B63Z;I67.88;19;0,4524
B63Z;F03;6;0,1429
B64Z;R41.0;8;0,3636
B64Z;F05.0;5;0,2273
B64Z;F05.1;4;0,1818
B66D;C79.3;20;0,2532
B66D;C71.8;15;0,1899
B66D;C71.1;9;0,1139
B66D;C71.9;8;0,1013
B66D;C71.2;4;0,0506
B66D;C71.7;4;0,0506
B67A;G20.21;12;0,9231
B67B;G20.11;18;0,4865
B67B;G20.10;11;0,2973
B67B;G20.90;4;0,1081
B68D;G35.11;14;0,3043
B68D;G35.31;14;0,3043
B68D;G35.10;6;0,1304
B68D;G35.21;6;0,1304
