IM_MDC;IM_Text;IM_DRG_Anzahl;IM_Faelle_Anzahl
00;Prä-MDC;75;35648
01;MDC 01 Krankheiten und Störungen des Nervensystems;111;30856
02;MDC 02 Krankheiten und Störungen des Auges;32;8687
03;MDC 03 Krankheiten und Störungen des Ohres, der Nase, des Mundes und des Halses;58;16920
04;MDC 04 Krankheiten und Störungen der Atmungsorgane;68;41486
05;MDC 05 Krankheiten und Störungen des Kreislaufsystems;157;8284
06;MDC 06 Krankheiten und Störungen der Verdauungsorgane;83;34149
07;MDC 07 Krankheiten und Störungen an hepatobiliärem System und Pankreas;46;9992
08;MDC 08 Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;155;30300
09;MDC 09 Krankheiten und Störungen an Haut, Unterhaut und Mamma;51;54102
10;MDC 10 Endokrine, Ernährungs- und Stoffwechselkrankheiten;40;13841
11;MDC 11 Krankheiten und Störungen der Harnorgane;67;43792
12;MDC 12 Krankheiten und Störungen der männlichen Geschlechtsorgane;27;5288
13;MDC 13 Krankheiten und Störungen der weiblichen Geschlechtsorgane;36;7924
14;MDC 14 Schwangerschaft, Geburt und Wochenbett;25;925
15;MDC 15 Neugeborene;42;311
16;MDC 16 Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems;16;8066
17;MDC 17 Hämatologische und solide Neubildungen;51;39623
18A;MDC 18A HIV;7;2325
18B;MDC 18B Infektiöse und parasitäre Krankheiten;23;846
19;MDC 19 Psychische Krankheiten und Störungen;13;16671
20;MDC 20 Alkohol- und Drogengebrauch und alkohol- und drogeninduzierte psychische Störungen;6;78
21A;MDC 21A Polytrauma;13;2
21B;MDC 21B Verletzungen, Vergiftungen und toxische Wirkungen von Drogen und Medikamenten;15;1482
22;MDC 22 Verbrennungen;11;78
23;MDC 23 Faktoren, die den Gesundheitszustand beeinflussen, und andere Inanspruchnahme des Gesundheitswesens;14;14135
24;MDC 24 Sonstige DRGs;10;388
-1;Fehler-DRGs;3;1926
