IM_MDC;IM_Text;IM_DRG_Anzahl;IM_Faelle_Anzahl
00;Prä-MDC;75;33208
01;MDC 01 Krankheiten und Störungen des Nervensystems;108;30529
02;MDC 02 Krankheiten und Störungen des Auges;33;6987
03;MDC 03 Krankheiten und Störungen des Ohres, der Nase, des Mundes und des Halses;56;16482
04;MDC 04 Krankheiten und Störungen der Atmungsorgane;66;41810
05;MDC 05 Krankheiten und Störungen des Kreislaufsystems;151;8507
06;MDC 06 Krankheiten und Störungen der Verdauungsorgane;83;34449
07;MDC 07 Krankheiten und Störungen an hepatobiliärem System und Pankreas;44;10378
08;MDC 08 Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;145;28177
09;MDC 09 Krankheiten und Störungen an Haut, Unterhaut und Mamma;50;57488
10;MDC 10 Endokrine, Ernährungs- und Stoffwechselkrankheiten;39;13505
11;MDC 11 Krankheiten und Störungen der Harnorgane;68;43708
12;MDC 12 Krankheiten und Störungen der männlichen Geschlechtsorgane;27;4894
13;MDC 13 Krankheiten und Störungen der weiblichen Geschlechtsorgane;34;7774
14;MDC 14 Schwangerschaft, Geburt und Wochenbett;25;769
15;MDC 15 Neugeborene;42;296
16;MDC 16 Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems;16;7953
17;MDC 17 Hämatologische und solide Neubildungen;50;40540
18A;MDC 18A HIV;7;2467
18B;MDC 18B Infektiöse und parasitäre Krankheiten;22;803
19;MDC 19 Psychische Krankheiten und Störungen;11;16753
20;MDC 20 Alkohol- und Drogengebrauch und alkohol- und drogeninduzierte psychische Störungen;6;70
21A;MDC 21A Polytrauma;13;2
21B;MDC 21B Verletzungen, Vergiftungen und toxische Wirkungen von Drogen und Medikamenten;15;1943
22;MDC 22 Verbrennungen;11;104
23;MDC 23 Faktoren, die den Gesundheitszustand beeinflussen, und andere Inanspruchnahme des Gesundheitswesens;14;11311
-1;Fehler-DRGs;9;2135
