IC_CodeF;IC_Text;IC_ANZHDI;IC_ANZNDI;IC_AnzProzI
1-208.1;Registrierung evozierter Potentiale: Früh-akustisch [FAEP/BERA];0;0;1
1-208.8;Registrierung evozierter Potentiale: Otoakustische Emissionen [OAE];0;0;1
1-220.0;Messung des Augeninnendruckes: Tages- und Nachtdruckmessung über 24 Stunden;0;0;1
1-242;Audiometrie;0;0;1
1-336;Harnröhrenkalibrierung;0;0;1
1-460.1;Transurethrale Biopsie an Harnorganen und Prostata: Ureter;0;0;1
1-460.2;Transurethrale Biopsie an Harnorganen und Prostata: Harnblase;0;0;1
1-464.00;Transrektale Biopsie an männlichen Geschlechtsorganen: Stanzbiopsie der Prostata: Weniger als 20 Zylinder;0;0;1
1-610.0;Diagnostische Laryngoskopie: Direkt;0;0;1
1-610.2;Diagnostische Laryngoskopie: Mikrolaryngoskopie;0;0;1
1-611.0;Diagnostische Pharyngoskopie: Direkt;0;0;1
1-611.1;Diagnostische Pharyngoskopie: Indirekt;0;0;1
1-612;Diagnostische Rhinoskopie;0;0;1
1-620.00;Diagnostische Tracheobronchoskopie: Mit flexiblem Instrument: Ohne weitere Maßnahmen;0;0;1
1-620.10;Diagnostische Tracheobronchoskopie: Mit starrem Instrument: Ohne weitere Maßnahmen;0;0;1
1-630.1;Diagnostische Ösophagoskopie: Mit starrem Instrument;0;0;1
1-653;Diagnostische Proktoskopie;0;0;1
1-661;Diagnostische Urethrozystoskopie;0;0;1
1-665;Diagnostische Ureterorenoskopie;0;0;1
1-672;Diagnostische Hysteroskopie;0;0;1
1-694;Diagnostische Laparoskopie (Peritoneoskopie);0;0;1
1-697.1;Diagnostische Arthroskopie: Schultergelenk;0;0;1
1-697.7;Diagnostische Arthroskopie: Kniegelenk;0;0;1
1-699.0;Andere diagnostische Endoskopie durch Punktion, Inzision und intraoperativ: Endoskopie der Nasennebenhöhlen;0;0;1
1-771;Standardisiertes geriatrisches Basisassessment (GBA);0;0;1
