pe_SK;pe_Pepp;pe_Text
PRE;P002Z;Einzelbetreuung bei Kindern und Jugendlichen mit hohem Aufwand
PRE;P003A;Erhöhter Betreuungsaufwand bei Erwachsenen, 1:1-Betreuung mit äußerst hohem Aufwand
PRE;P003B;Erhöhter Betreuungsaufwand bei Erwachsenen, 1:1-Betreuung mit sehr hohem Aufwand
PRE;P003C;Erhöhter Betreuungsaufwand bei Erwachsenen, 1:1-Betreuung mit deutlich erhöhtem Aufwand
PSY;PA01A;Intelligenzstörungen, tief greifende Entwicklungsstörungen, Ticstörungen und andere Störungen mit Beginn in der Kindheit und Jugend, mit komplizierender Konstellation
PSY;PA01B;Intelligenzstörungen, tief greifende Entwicklungsstörungen, Ticstörungen und andere Störungen mit Beginn in der Kindheit und Jugend, ohne komplizierende Konstellation
PSY;PA02A;Psychische und Verhaltensstörungen durch psychotrope Substanzen, mit Heroinkonsum oder intravenösem Gebrauch sonstiger Substanzen oder mit schwerer Begleiterkrankung bei Opiatabhängigkeit
PSY;PA02B;Psychische und Verhaltensstörungen durch psychotrope Substanzen, mit komplizierender Konstellation oder mit multiplem Substanzmissbrauch bei Opiat- oder Kokainkonsum oder mit hoher Therapieintensität oder mit Mutter/Vater-Kind-Setting
PSY;PA02C;Psychische und Verhaltensstörungen durch psychotrope Substanzen, mit Qualifiziertem Entzug ab 7 Behandlungstagen oder mit Intensivbehandlung mit hohem Anteil oder mit multiplem Substanzmissbrauch außer bei Opiat- oder Kokainkonsum
PSY;PA02D;Psychische und Verhaltensstörungen durch psychotrope Substanzen, ohne komplizierende Konstellation, ohne multiplen Substanzmissbrauch, ohne Heroinkonsum oder intravenösen Gebrauch sonstiger Substanzen, ohne Qualifizierten Entzug ab 7 Behandlungstagen
PSY;PA03A;Schizophrenie, schizotype und wahnhafte Störungen oder andere psychotische Störungen, Alter > 64 Jahre oder mit komplizierender Konstellation oder mit hoher Therapieintensität oder mit Mutter/Vater-Kind-Setting
PSY;PA03B;Schizophrenie, schizotype und wahnhafte Störungen oder andere psychotische Störungen, Alter < 65 Jahre, ohne komplizierende Konstellation
PSY;PA04A;Affektive, neurotische, Belastungs-, somatoforme und Schlafstörungen, Alter > 89 Jahre oder mit komplizierender Diagnose und Alter > 64 Jahre, oder mit komplizierender Konstellation oder mit hoher Therapieintensität
PSY;PA04B;Affektive, neurotische, Belastungs-, somatoforme und Schlafstörungen, Alter < 90 Jahre, ohne komplizierende Konstellation, mit Mutter/Vater-Kind-Setting oder mit komplizierender Diagnose oder Alter > 64 Jahre
PSY;PA04C;Affektive, neurotische, Belastungs-, somatoforme und Schlafstörungen, Alter < 65 Jahre, ohne komplizierende Konstellation, ohne komplizierende Diagnose
PSY;PA14A;Persönlichkeits- und Verhaltensstörungen, Essstörungen und andere Störungen, Alter > 64 Jahre oder mit komplizierender Konstellation oder mit hoher Therapieintensität
PSY;PA14B;Persönlichkeits- und Verhaltensstörungen, Essstörungen und andere Störungen, Alter < 65 Jahre, ohne komplizierende Konstellation
PSY;PA15A;Organische Störungen, amnestisches Syndrom, Alzheimer-Krankheit und sonstige degenerative Krankheiten des Nervensystems, mit komplizierender Konstellation oder mit hoher Therapieintensität oder 1:1-Betreuung mit erhöhtem Aufwand
PSY;PA15B;Organische Störungen, amnestisches Syndrom, Alzheimer-Krankheit und sonstige degenerative Krankheiten des Nervensystems, mit bestimmten Demenzerkrankungen oder mit komplizierender Diagnose oder Alter > 84 Jahre
PSY;PA15C;Organische Störungen, amnestisches Syndrom, Alzheimer-Krankheit und sonstige degenerative Krankheiten des Nervensystems, Alter < 85 Jahre, ohne komplizierende Konstellation, ohne bestimmte Demenzerkrankungen, ohne komplizierende Diagnose
PKJ;PK01Z;Intelligenzstörungen, tief greifende Entwicklungsstörungen, Ticstörungen und andere Störungen mit Beginn in der Kindheit und Jugend
PKJ;PK02Z;Psychische und Verhaltensstörungen durch psychotrope Substanzen
PKJ;PK03Z;Schizophrenie, schizotype und wahnhafte Störungen oder andere psychotische Störungen
PKJ;PK04A;Affektive, neurotische, Belastungs-, somatoforme und Schlafstörungen, mit komplizierender Nebendiagnose oder mit Einzel- und Kleinstgruppenbetreuung mit erhöhtem Aufwand
PKJ;PK04B;Affektive, neurotische, Belastungs-, somatoforme und Schlafstörungen, ohne komplizierende Nebendiagnose, ohne Einzel- und Kleinstgruppenbetreuung mit erhöhtem Aufwand
PKJ;PK10Z;Ess- und Fütterstörungen
PKJ;PK14A;Verhaltensstörungen mit Beginn in der Kindheit und Jugend, Persönlichkeits- und Verhaltensstörungen oder andere Störungen, Alter < 8 Jahre oder mit komplizierender Nebendiagnose oder mit Einzel- und Kleinstgruppenbetreuung mit erhöhtem Aufwand
PKJ;PK14B;Verhaltensstörungen mit Beginn in der Kindheit und Jugend, Persönlichkeits- und Verhaltensstörungen oder andere Störungen, Alter 8-13 Jahre, ohne komplizierende Nebendiagnose, ohne Einzel- und Kleinstgruppenbetreuung mit erhöhtem Aufwand
