IC_CodeF;IC_Text;IC_ANZHDI;IC_ANZNDI;IC_AnzProzI
1-208.8;Registrierung evozierter Potentiale: Otoakustische Emissionen [OAE];0;0;1
1-220.0;Messung des Augeninnendruckes: Tages- und Nachtdruckmessung über 24 Stunden;0;0;1
1-242;Audiometrie;0;0;1
1-336;Harnröhrenkalibrierung;0;0;1
1-440.a;Endoskopische Biopsie an oberem Verdauungstrakt, Gallengängen und Pankreas: 1 bis 5 Biopsien am oberen Verdauungstrakt;0;0;1
1-444.7;Endoskopische Biopsie am unteren Verdauungstrakt: 1 bis 5 Biopsien;0;0;1
1-460.0;Transurethrale Biopsie an Harnorganen und Prostata: Nierenbecken;0;0;1
1-460.1;Transurethrale Biopsie an Harnorganen und Prostata: Ureter;0;0;1
1-460.2;Transurethrale Biopsie an Harnorganen und Prostata: Harnblase;0;0;1
1-464.00;Transrektale Biopsie an männlichen Geschlechtsorganen: Stanzbiopsie der Prostata: Weniger als 20 Zylinder;0;0;1
1-464.01;Transrektale Biopsie an männlichen Geschlechtsorganen: Stanzbiopsie der Prostata: 20 oder mehr Zylinder;0;0;1
1-465.1;Perkutane Biopsie an Harnorganen und männlichen Geschlechtsorganen mit Steuerung durch bildgebende Verfahren: Prostata;0;0;1
1-471.2;Biopsie ohne Inzision am Endometrium: Diagnostische fraktionierte Kürettage;0;0;1
1-610.0;Diagnostische Laryngoskopie: Direkt;0;0;1
1-610.2;Diagnostische Laryngoskopie: Mikrolaryngoskopie;0;0;1
1-611.0;Diagnostische Pharyngoskopie: Direkt;0;0;1
1-612;Diagnostische Rhinoskopie;0;0;1
1-620.00;Diagnostische Tracheobronchoskopie: Mit flexiblem Instrument: Ohne weitere Maßnahmen;0;0;1
1-630.0;Diagnostische Ösophagoskopie: Mit flexiblem Instrument;0;0;1
1-630.1;Diagnostische Ösophagoskopie: Mit starrem Instrument;0;0;1
1-632.0;Diagnostische Ösophagogastroduodenoskopie: Bei normalem Situs;0;0;1
1-650.1;Diagnostische Koloskopie: Total, bis Zäkum;0;0;1
1-650.2;Diagnostische Koloskopie: Total, mit Ileoskopie;0;0;1
1-653;Diagnostische Proktoskopie;0;0;1
1-654.1;Diagnostische Rektoskopie: Mit starrem Instrument;0;0;1
1-661;Diagnostische Urethrozystoskopie;0;0;1
1-665;Diagnostische Ureterorenoskopie;0;0;1
1-672;Diagnostische Hysteroskopie;0;0;1
1-694;Diagnostische Laparoskopie (Peritoneoskopie);0;0;1
1-697.1;Diagnostische Arthroskopie: Schultergelenk;0;0;1
1-697.3;Diagnostische Arthroskopie: Handgelenk;0;0;1
1-697.7;Diagnostische Arthroskopie: Kniegelenk;0;0;1
1-699.0;Andere diagnostische Endoskopie durch Punktion, Inzision und intraoperativ: Endoskopie der Nasennebenhöhlen;0;0;1
