IC_CodeF;IC_Text;IC_ANZHDI;IC_ANZNDI;IC_AnzProzI
1-100;Klinische Untersuchung in Allgemeinanästhesie;0;0;1
1-202.00;Diagnostik zur Feststellung des irreversiblen Hirnfunktionsausfalls: Bei einem potenziellen Organspender: Ohne Feststellung des irreversiblen Hirnfunktionsausfalls;0;0;1
1-202.01;Diagnostik zur Feststellung des irreversiblen Hirnfunktionsausfalls: Bei einem potenziellen Organspender: Mit Feststellung des irreversiblen Hirnfunktionsausfalls;0;0;1
1-202.1;Diagnostik zur Feststellung des irreversiblen Hirnfunktionsausfalls: Bei sonstigen Patienten;0;0;1
1-203.0;Invasive Funktionsdiagnostik des Nervensystems: Mit Stimulationselektroden, zerebral;0;0;1
1-203.1;Invasive Funktionsdiagnostik des Nervensystems: Mit Stimulationselektroden, spinal;0;0;1
1-203.2;Invasive Funktionsdiagnostik des Nervensystems: Mit pharmakologischer Testung;0;0;1
1-203.x;Invasive Funktionsdiagnostik des Nervensystems: Sonstige;0;0;1
1-204.0;Untersuchung des Liquorsystems: Messung des Hirndruckes;0;0;1
1-204.1;Untersuchung des Liquorsystems: Messung des lumbalen Liquordruckes;0;0;1
1-204.2;Untersuchung des Liquorsystems: Lumbale Liquorpunktion zur Liquorentnahme;0;0;1
1-204.5;Untersuchung des Liquorsystems: Liquorentnahme aus einem liegenden Katheter;0;0;1
1-204.6;Untersuchung des Liquorsystems: Infusionstest;0;0;1
1-204.7;Untersuchung des Liquorsystems: Pharmakologischer Test;0;0;1
1-204.x;Untersuchung des Liquorsystems: Sonstige;0;0;1
1-205;Elektromyographie (EMG);0;0;1
1-206;Neurographie;0;0;1
1-207.0;Elektroenzephalographie (EEG): Routine-EEG (10/20 Elektroden);0;0;1
1-207.1;Elektroenzephalographie (EEG): Schlaf-EEG (10/20 Elektroden);0;0;1
1-207.2;Elektroenzephalographie (EEG): Video-EEG (10/20 Elektroden);0;0;1
1-207.3;Elektroenzephalographie (EEG): Mobiles Kassetten-EEG (10/20 Elektroden);0;0;1
1-207.x;Elektroenzephalographie (EEG): Sonstige;0;0;1
1-207.y;Elektroenzephalographie (EEG): N.n.bez.;0;0;1
1-208.0;Registrierung evozierter Potentiale: Akustisch [AEP];0;0;1
1-208.1;Registrierung evozierter Potentiale: Früh-akustisch [FAEP/BERA];0;0;1
1-208.2;Registrierung evozierter Potentiale: Somatosensorisch [SSEP];0;0;1
1-208.3;Registrierung evozierter Potentiale: Früh-somatosensorisch [FSSEP];0;0;1
1-208.4;Registrierung evozierter Potentiale: Motorisch [MEP];0;0;1
1-208.5;Registrierung evozierter Potentiale: Spät-akustisch [CERA];0;0;1
1-208.6;Registrierung evozierter Potentiale: Visuell [VEP];0;0;1
1-208.8;Registrierung evozierter Potentiale: Otoakustische Emissionen [OAE];0;0;1
1-208.9;Registrierung evozierter Potentiale: Vestibulär myogen [VEMP];0;0;1
1-208.x;Registrierung evozierter Potentiale: Sonstige;0;0;1
1-208.y;Registrierung evozierter Potentiale: N.n.bez.;0;0;1
1-209;Komplexe Diagnostik bei Spina bifida;0;0;1
1-20a.20;Andere neurophysiologische Untersuchungen: Neurologische Untersuchung bei Bewegungsstörungen: Untersuchung der Pharmakosensitivität mit quantitativer Testung;0;0;1
1-20a.21;Andere neurophysiologische Untersuchungen: Neurologische Untersuchung bei Bewegungsstörungen: Untersuchung der operativen Behandelbarkeit von Bewegungsstörungen;0;0;1
1-20a.30;Andere neurophysiologische Untersuchungen: Neurophysiologische Diagnostik bei Schwindelsyndromen: Elektro- und/oder Video-Nystagmographie;0;0;1
1-20a.31;Andere neurophysiologische Untersuchungen: Neurophysiologische Diagnostik bei Schwindelsyndromen: Video-Kopfimpulstest;0;0;1
1-20a.32;Andere neurophysiologische Untersuchungen: Neurophysiologische Diagnostik bei Schwindelsyndromen: Bestimmung der subjektiven visuellen Vertikalen;0;0;1
1-20a.33;Andere neurophysiologische Untersuchungen: Neurophysiologische Diagnostik bei Schwindelsyndromen: Posturographie;0;0;1
1-20c.0;Navigierte transkranielle Magnetstimulation (nTMS): Zur Identifizierung von Hirnarealen für die Motorik (Motormapping);0;0;1
1-20c.1;Navigierte transkranielle Magnetstimulation (nTMS): Zur Identifizierung von Hirnarealen für die Sprache (Speechmapping);0;0;1
1-20c.x;Navigierte transkranielle Magnetstimulation (nTMS): Sonstige;0;0;1
1-20c.y;Navigierte transkranielle Magnetstimulation (nTMS): N.n.bez.;0;0;1
1-210;Nicht invasive Video-EEG-Intensivdiagnostik zur Klärung eines Verdachts auf Epilepsie oder einer epilepsiechirurgischen Operationsindikation;0;0;1
1-212.0;Invasive intraoperative Epilepsiediagnostik: Elektrokortikographie;0;0;1
1-220.0;Messung des Augeninnendruckes: Tages- und Nachtdruckmessung über 24 Stunden;0;0;1
1-242;Audiometrie;0;0;1
1-243;Phoniatrie;0;0;1
1-245;Rhinomanometrie;0;0;1
1-247;Olfaktometrie und Gustometrie;0;0;1
1-265.0;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Störungen der Sinusknotenfunktion;0;0;1
1-265.1;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Störungen der AV-Überleitung;0;0;1
1-265.3;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei intraventrikulären Leitungsstörungen (faszikuläre Blockierungen);0;0;1
1-265.4;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Tachykardien mit schmalem QRS-Komplex oder atrialen Tachykardien;0;0;1
1-265.5;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei WPW-Syndrom;0;0;1
1-265.6;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Tachykardien mit breitem QRS-Komplex;0;0;1
1-265.7;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei nicht anhaltenden Kammertachykardien und/oder ventrikulären Extrasystolen;0;0;1
1-265.8;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Synkopen unklarer Genese;0;0;1
1-265.9;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Zustand nach Herz-Kreislauf-Stillstand;0;0;1
1-265.a;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Nach kurativer Therapie eines angeborenen Herzfehlers;0;0;1
1-265.b;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Nach palliativer Therapie eines angeborenen Herzfehlers;0;0;1
1-265.e;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Vorhofflimmern;0;0;1
1-265.f;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Vorhofflattern;0;0;1
1-265.x;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Sonstige;0;0;1
1-265.y;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: N.n.bez.;0;0;1
1-266.0;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Bei implantiertem Schrittmacher;0;0;1
1-266.1;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Bei implantiertem Kardioverter/Defibrillator (ICD);0;0;1
1-266.2;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Kipptisch-Untersuchung zur Abklärung von Synkopen;0;0;1
1-266.3;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Medikamentöser Provokationstest (zur Erkennung von Arrhythmien);0;0;1
1-266.x;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Sonstige;0;0;1
1-268.0;Kardiales Mapping: Rechter Vorhof;0;0;1
1-268.1;Kardiales Mapping: Linker Vorhof;0;0;1
1-268.2;Kardiales Mapping: Gemeinsamer Vorhof;0;0;1
1-268.3;Kardiales Mapping: Rechter Ventrikel;0;0;1
1-268.4;Kardiales Mapping: Linker Ventrikel;0;0;1
1-268.x;Kardiales Mapping: Sonstige;0;0;1
1-269;Magnetokardiographie;0;0;1
1-273.1;Rechtsherz-Katheteruntersuchung: Oxymetrie;0;0;1
1-273.2;Rechtsherz-Katheteruntersuchung: Druckmessung mit Messung des Shuntvolumens;0;0;1
1-273.5;Rechtsherz-Katheteruntersuchung: Messung der pulmonalen Flussreserve;0;0;1
1-273.6;Rechtsherz-Katheteruntersuchung: Messung des Lungenwassers;0;0;1
1-273.x;Rechtsherz-Katheteruntersuchung: Sonstige;0;0;1
1-273.y;Rechtsherz-Katheteruntersuchung: N.n.bez.;0;0;1
1-274.0;Transseptale Linksherz-Katheteruntersuchung: Druckmessung;0;0;1
1-274.1;Transseptale Linksherz-Katheteruntersuchung: Oxymetrie;0;0;1
1-274.2;Transseptale Linksherz-Katheteruntersuchung: Druckmessung mit Messung des Shuntvolumens;0;0;1
