IM_MDC;IM_Text;IM_DRG_Anzahl;IM_Faelle_Anzahl
00;Prä-MDC;71;109083
01;MDC 01 Krankheiten und Störungen des Nervensystems;107;1126243
02;MDC 02 Krankheiten und Störungen des Auges;33;214200
03;MDC 03 Krankheiten und Störungen des Ohres, der Nase, des Mundes und des Halses;56;532610
04;MDC 04 Krankheiten und Störungen der Atmungsorgane;63;1066236
05;MDC 05 Krankheiten und Störungen des Kreislaufsystems;148;1966690
06;MDC 06 Krankheiten und Störungen der Verdauungsorgane;82;1480099
07;MDC 07 Krankheiten und Störungen an hepatobiliärem System und Pankreas;39;431666
08;MDC 08 Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;141;2143753
09;MDC 09 Krankheiten und Störungen an Haut, Unterhaut und Mamma;48;586902
10;MDC 10 Endokrine, Ernährungs- und Stoffwechselkrankheiten;38;396250
11;MDC 11 Krankheiten und Störungen der Harnorgane;66;604200
12;MDC 12 Krankheiten und Störungen der männlichen Geschlechtsorgane;27;147287
13;MDC 13 Krankheiten und Störungen der weiblichen Geschlechtsorgane;35;269547
14;MDC 14 Schwangerschaft, Geburt und Wochenbett;26;705849
15;MDC 15 Neugeborene;42;582409
16;MDC 16 Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems;16;113241
17;MDC 17 Hämatologische und solide Neubildungen;51;168071
18A;MDC 18A HIV;7;3505
18B;MDC 18B Infektiöse und parasitäre Krankheiten;21;186063
19;MDC 19 Psychische Krankheiten und Störungen;11;89785
20;MDC 20 Alkohol- und Drogengebrauch und alkohol- und drogeninduzierte psychische Störungen;6;58123
21A;MDC 21A Polytrauma;13;9415
21B;MDC 21B Verletzungen, Vergiftungen und toxische Wirkungen von Drogen und Medikamenten;15;105212
22;MDC 22 Verbrennungen;10;12298
23;MDC 23 Faktoren, die den Gesundheitszustand beeinflussen, und andere Inanspruchnahme des Gesundheitswesens;15;56304
-1;Fehler-DRGs und sonstige DRGs;9;33643
