IM_MDC;IM_Text;IM_DRG_Anzahl;IM_Faelle_Anzahl
00;Prä-MDC;68;28536
01;MDC 01 Krankheiten und Störungen des Nervensystems;109;256806
02;MDC 02 Krankheiten und Störungen des Auges;32;59494
03;MDC 03 Krankheiten und Störungen des Ohres, der Nase, des Mundes und des Halses;54;140137
04;MDC 04 Krankheiten und Störungen der Atmungsorgane;65;215724
05;MDC 05 Krankheiten und Störungen des Kreislaufsystems;150;387341
06;MDC 06 Krankheiten und Störungen der Verdauungsorgane;87;282430
07;MDC 07 Krankheiten und Störungen an hepatobiliärem System und Pankreas;46;92107
08;MDC 08 Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;171;418193
09;MDC 09 Krankheiten und Störungen an Haut, Unterhaut und Mamma;52;144224
10;MDC 10 Endokrine, Ernährungs- und Stoffwechselkrankheiten;39;87907
11;MDC 11 Krankheiten und Störungen der Harnorgane;71;139001
12;MDC 12 Krankheiten und Störungen der männlichen Geschlechtsorgane;27;36929
13;MDC 13 Krankheiten und Störungen der weiblichen Geschlechtsorgane;36;51368
14;MDC 14 Schwangerschaft, Geburt und Wochenbett;26;134037
15;MDC 15 Neugeborene;42;153385
16;MDC 16 Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems;16;23767
17;MDC 17 Hämatologische und solide Neubildungen;51;48100
18A;MDC 18A HIV;7;902
18B;MDC 18B Infektiöse und parasitäre Krankheiten;24;49145
19;MDC 19 Psychische Krankheiten und Störungen;9;15457
20;MDC 20 Alkohol- und Drogengebrauch und alkohol- und drogeninduzierte psychische Störungen;6;10162
21A;MDC 21A Polytrauma;10;2364
21B;MDC 21B Verletzungen, Vergiftungen und toxische Wirkungen von Drogen und Medikamenten;15;20756
22;MDC 22 Verbrennungen;9;4612
23;MDC 23 Faktoren, die den Gesundheitszustand beeinflussen, und andere Inanspruchnahme des Gesundheitswesens;10;14987
24;MDC 24 Sonstige DRGs;10;6681
-1;Fehler-DRGs;3;118
