IM_MDC;IM_Text;IM_DRG_Anzahl;IM_Faelle_Anzahl
00;Prä-MDC;76;114
01;MDC 01 Krankheiten und Störungen des Nervensystems;118;2698
02;MDC 02 Krankheiten und Störungen des Auges;32;17102
03;MDC 03 Krankheiten und Störungen des Ohres, der Nase, des Mundes und des Halses;57;65428
04;MDC 04 Krankheiten und Störungen der Atmungsorgane;70;8914
05;MDC 05 Krankheiten und Störungen des Kreislaufsystems;155;22582
06;MDC 06 Krankheiten und Störungen der Verdauungsorgane;91;18912
07;MDC 07 Krankheiten und Störungen an hepatobiliärem System und Pankreas;49;3444
08;MDC 08 Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;180;66110
09;MDC 09 Krankheiten und Störungen an Haut, Unterhaut und Mamma;51;11173
10;MDC 10 Endokrine, Ernährungs- und Stoffwechselkrankheiten;42;5344
11;MDC 11 Krankheiten und Störungen der Harnorgane;76;26291
12;MDC 12 Krankheiten und Störungen der männlichen Geschlechtsorgane;29;11819
13;MDC 13 Krankheiten und Störungen der weiblichen Geschlechtsorgane;39;13012
14;MDC 14 Schwangerschaft, Geburt und Wochenbett;26;31310
15;MDC 15 Neugeborene;41;29376
16;MDC 16 Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems;16;1223
17;MDC 17 Hämatologische und solide Neubildungen;52;1668
18A;MDC 18A HIV;7;0
18B;MDC 18B Infektiöse und parasitäre Krankheiten;24;1917
19;MDC 19 Psychische Krankheiten und Störungen;13;260
20;MDC 20 Alkohol- und Drogengebrauch und alkohol- und drogeninduzierte psychische Störungen;6;446
21A;MDC 21A Polytrauma;14;0
21B;MDC 21B Verletzungen, Vergiftungen und toxische Wirkungen von Drogen und Medikamenten;15;974
22;MDC 22 Verbrennungen;11;27
23;MDC 23 Faktoren, die den Gesundheitszustand beeinflussen, und andere Inanspruchnahme des Gesundheitswesens;15;1020
24;MDC 24 Sonstige DRGs;10;166
-1;Fehler-DRGs;3;10
