IM_MDC;IM_Text;IM_DRG_Anzahl;IM_Faelle_Anzahl
00;Prä-MDC;71;153
01;MDC 01 Krankheiten und Störungen des Nervensystems;105;3887
02;MDC 02 Krankheiten und Störungen des Auges;33;21408
03;MDC 03 Krankheiten und Störungen des Ohres, der Nase, des Mundes und des Halses;56;95373
04;MDC 04 Krankheiten und Störungen der Atmungsorgane;64;8845
05;MDC 05 Krankheiten und Störungen des Kreislaufsystems;149;28270
06;MDC 06 Krankheiten und Störungen der Verdauungsorgane;82;21405
07;MDC 07 Krankheiten und Störungen an hepatobiliärem System und Pankreas;41;3223
08;MDC 08 Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;143;76871
09;MDC 09 Krankheiten und Störungen an Haut, Unterhaut und Mamma;49;13857
10;MDC 10 Endokrine, Ernährungs- und Stoffwechselkrankheiten;37;6586
11;MDC 11 Krankheiten und Störungen der Harnorgane;66;31162
12;MDC 12 Krankheiten und Störungen der männlichen Geschlechtsorgane;27;13870
13;MDC 13 Krankheiten und Störungen der weiblichen Geschlechtsorgane;35;19524
14;MDC 14 Schwangerschaft, Geburt und Wochenbett;26;50829
15;MDC 15 Neugeborene;42;42923
16;MDC 16 Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems;16;1751
17;MDC 17 Hämatologische und solide Neubildungen;51;2215
18A;MDC 18A HIV;7;0
18B;MDC 18B Infektiöse und parasitäre Krankheiten;21;1897
19;MDC 19 Psychische Krankheiten und Störungen;11;390
20;MDC 20 Alkohol- und Drogengebrauch und alkohol- und drogeninduzierte psychische Störungen;6;554
21A;MDC 21A Polytrauma;13;0
21B;MDC 21B Verletzungen, Vergiftungen und toxische Wirkungen von Drogen und Medikamenten;15;1907
22;MDC 22 Verbrennungen;10;33
23;MDC 23 Faktoren, die den Gesundheitszustand beeinflussen, und andere Inanspruchnahme des Gesundheitswesens;15;1094
-1;Fehler-DRGs und sonstige DRGs;9;364
